id_vivienda,comuna,tipo_vivienda,num_dormitorios,num_banos,superficie_m2,ano_construccion,material_paredes,material_techo,num_personas_hogar,num_hombres,num_mujeres,num_menores_18,num_adultos_18_64,num_adultos_65_plus,ingreso_mensual_hogar,jefe_hogar_edad,jefe_hogar_sexo,jefe_hogar_educacion,agua_potable,electricidad,gas_natural,internet,telefono_fijo,vehiculo_propio,tenencia_vivienda
VIV_000000,Vallenar,Casa,4,3,48.8,2012,Ladrillo,Losa,1,0,1,0,1,0,2474753,30,M,Sin estudios,No,No,Sí,Sí,Sí,Sí,Arrendada
VIV_000001,Coyhaique,Casa pareada,2,1,152.6,1982,Madera,Tejas,7,3,4,3,3,1,2378746,41,M,Media,No,Sí,No,Sí,No,Sí,Propia
VIV_000002,La Serena,Casa,1,3,73.6,2012,Adobe,Paja,3,3,0,0,0,3,988527,79,F,Universitaria,Sí,Sí,Sí,Sí,No,Sí,Cedida
VIV_000003,Curicó,Casa,3,3,69.4,2002,Ladrillo,Losa,2,2,0,1,0,1,1401310,67,F,Técnica,No,No,No,No,No,Sí,Ocupación irregular
VIV_000004,Los Ángeles,Casa pareada,1,1,62.6,2004,Adobe,Zinc,3,2,1,2,0,1,2918079,56,M,Básica,No,Sí,No,No,Sí,No,Arrendada
VIV_000005,Providencia,Departamento,3,2,166.9,1957,Ladrillo,Paja,6,6,0,1,1,4,2233911,51,F,Media,Sí,Sí,No,No,No,Sí,Cedida
VIV_000006,San Antonio,Mediagua,4,1,108.6,1951,Ladrillo,Paja,9,3,6,4,0,5,2012333,77,F,Sin estudios,Sí,Sí,No,Sí,No,Sí,Ocupación irregular
VIV_000007,Ñuñoa,Casa,2,2,199.1,1980,Hormigón,Losa,3,1,2,1,0,2,2337052,73,M,Media,No,Sí,Sí,No,No,No,Propia
VIV_000008,San Fernando,Casa,1,2,171.1,2021,Ladrillo,Paja,2,1,1,2,0,0,1755544,22,M,Sin estudios,No,Sí,Sí,No,Sí,Sí,Ocupación irregular
VIV_000009,Arica,Departamento,4,1,161.5,2022,Adobe,Tejas,12,1,11,4,0,8,1658102,71,F,Sin estudios,Sí,No,No,Sí,Sí,No,Ocupación irregular
VIV_000010,San Bernardo,Casa,2,2,142.1,2017,Hormigón,Losa,5,1,4,3,0,2,1062068,74,M,Básica,No,No,Sí,No,Sí,No,Arrendada
